Index,Units,Date,Month,Year,Day
0,13478,12/31/2004,12,2004,Friday
1,14097,12/30/2004,12,2004,Thursday
2,15223,12/29/2004,12,2004,Wednesday
3,17580,12/28/2004,12,2004,Tuesday
4,16718,12/27/2004,12,2004,Monday
5,15059,12/26/2004,12,2004,Sunday
6,16669,12/25/2004,12,2004,Saturday
7,15645,12/24/2004,12,2004,Friday
8,15358,12/23/2004,12,2004,Thursday
9,15670,12/22/2004,12,2004,Wednesday
10,18740,12/21/2004,12,2004,Tuesday
11,19050,12/20/2004,12,2004,Monday
12,14619,12/19/2004,12,2004,Sunday
13,16053,12/18/2004,12,2004,Saturday
14,15893,12/17/2004,12,2004,Friday
15,17381,12/16/2004,12,2004,Thursday
16,17126,12/15/2004,12,2004,Wednesday
17,16704,12/14/2004,12,2004,Tuesday
18,14308,12/13/2004,12,2004,Monday
19,14153,12/12/2004,12,2004,Sunday
20,13881,12/11/2004,12,2004,Saturday
21,13815,12/10/2004,12,2004,Friday
22,14507,12/9/2004,12,2004,Thursday
23,13277,12/8/2004,12,2004,Wednesday
24,13562,12/7/2004,12,2004,Tuesday
25,13563,12/6/2004,12,2004,Monday
26,13960,12/5/2004,12,2004,Sunday
27,15123,12/4/2004,12,2004,Saturday
28,15309,12/3/2004,12,2004,Friday
29,15575,12/2/2004,12,2004,Thursday
30,14133,12/1/2004,12,2004,Wednesday
31,14437,11/30/2004,11,2004,Tuesday
32,14484,11/29/2004,11,2004,Monday
33,12678,11/28/2004,11,2004,Sunday
34,13163,11/27/2004,11,2004,Saturday
35,13332,11/26/2004,11,2004,Friday
36,12244,11/25/2004,11,2004,Thursday
37,12829,11/24/2004,11,2004,Wednesday
38,13158,11/23/2004,11,2004,Tuesday
39,12645,11/22/2004,11,2004,Monday
40,11839,11/21/2004,11,2004,Sunday
41,12409,11/20/2004,11,2004,Saturday
42,13089,11/19/2004,11,2004,Friday
43,13181,11/18/2004,11,2004,Thursday
44,13547,11/17/2004,11,2004,Wednesday
45,14221,11/16/2004,11,2004,Tuesday
46,14126,11/15/2004,11,2004,Monday
47,13754,11/14/2004,11,2004,Sunday
48,13655,11/13/2004,11,2004,Saturday
49,13823,11/12/2004,11,2004,Friday
50,13727,11/11/2004,11,2004,Thursday
51,14753,11/10/2004,11,2004,Wednesday
52,14629,11/9/2004,11,2004,Tuesday
53,12306,11/8/2004,11,2004,Monday
54,12252,11/7/2004,11,2004,Sunday
55,13503,11/6/2004,11,2004,Saturday
56,13305,11/5/2004,11,2004,Friday
57,12892,11/4/2004,11,2004,Thursday
58,12529,11/3/2004,11,2004,Wednesday
59,12494,11/2/2004,11,2004,Tuesday
60,11730,11/1/2004,11,2004,Monday
61,11433,10/31/2004,10,2004,Sunday
62,12200,10/30/2004,10,2004,Saturday
63,12510,10/29/2004,10,2004,Friday
64,12604,10/28/2004,10,2004,Thursday
65,12652,10/27/2004,10,2004,Wednesday
66,12753,10/26/2004,10,2004,Tuesday
67,11985,10/25/2004,10,2004,Monday
68,11740,10/24/2004,10,2004,Sunday
69,12363,10/23/2004,10,2004,Saturday
70,12627,10/22/2004,10,2004,Friday
71,12598,10/21/2004,10,2004,Thursday
72,12799,10/20/2004,10,2004,Wednesday
73,13133,10/19/2004,10,2004,Tuesday
74,12830,10/18/2004,10,2004,Monday
75,12400,10/17/2004,10,2004,Sunday
76,12779,10/16/2004,10,2004,Saturday
77,12766,10/15/2004,10,2004,Friday
78,12685,10/14/2004,10,2004,Thursday
79,12704,10/13/2004,10,2004,Wednesday
80,12618,10/12/2004,10,2004,Tuesday
81,11907,10/11/2004,10,2004,Monday
82,11269,10/10/2004,10,2004,Sunday
83,12214,10/9/2004,10,2004,Saturday
84,12468,10/8/2004,10,2004,Friday
85,12484,10/7/2004,10,2004,Thursday
86,12764,10/6/2004,10,2004,Wednesday
87,12532,10/5/2004,10,2004,Tuesday
88,11817,10/4/2004,10,2004,Monday
89,11443,10/3/2004,10,2004,Sunday
90,12260,10/2/2004,10,2004,Saturday
91,12379,10/1/2004,10,2004,Friday
92,14254,12/31/2005,12,2005,Saturday
93,14714,12/30/2005,12,2005,Friday
94,13502,12/29/2005,12,2005,Thursday
95,14682,12/28/2005,12,2005,Wednesday
96,14789,12/27/2005,12,2005,Tuesday
97,12968,12/26/2005,12,2005,Monday
98,13226,12/25/2005,12,2005,Sunday
99,14737,12/24/2005,12,2005,Saturday
100,16879,12/23/2005,12,2005,Friday
101,18118,12/22/2005,12,2005,Thursday
102,18147,12/21/2005,12,2005,Wednesday
103,19031,12/20/2005,12,2005,Tuesday
104,16489,12/19/2005,12,2005,Monday
105,16144,12/18/2005,12,2005,Sunday
106,16490,12/17/2005,12,2005,Saturday
107,16144,12/16/2005,12,2005,Friday
108,16523,12/15/2005,12,2005,Thursday
109,17968,12/14/2005,12,2005,Wednesday
110,17329,12/13/2005,12,2005,Tuesday
111,15730,12/12/2005,12,2005,Monday
112,15659,12/11/2005,12,2005,Sunday
113,17362,12/10/2005,12,2005,Saturday
114,16714,12/9/2005,12,2005,Friday
115,17981,12/8/2005,12,2005,Thursday
116,17474,12/7/2005,12,2005,Wednesday
117,16942,12/6/2005,12,2005,Tuesday
118,15036,12/5/2005,12,2005,Monday
119,15226,12/4/2005,12,2005,Sunday
120,16801,12/3/2005,12,2005,Saturday
121,16035,12/2/2005,12,2005,Friday
122,16118,12/1/2005,12,2005,Thursday
123,14494,11/30/2005,11,2005,Wednesday
124,12821,11/29/2005,11,2005,Tuesday
125,12935,11/28/2005,11,2005,Monday
126,13385,11/27/2005,11,2005,Sunday
127,15300,11/26/2005,11,2005,Saturday
128,15002,11/25/2005,11,2005,Friday
129,14052,11/24/2005,11,2005,Thursday
